,Listing ID,Property Address,City,Zip Code,Neighborhood,Title,Content,Type,Status,Sale Price,Lease Price,Lease Price Type,Building Size (sqft),Land Size (sqft),Agent
0,19408,"12770 Northwest 38th Avenue, Opa-locka, Florida 33054",Opa-locka,33054,hollywood,"10,000 Sqft Opa-Locka Warehouse","Fausto Commercial Realty Consultants, as exclusive representative is pleased to present a rare and unique opportunity to lease a 10,000 sqft warehouse in the heart of Opa Locka. This property is located in a highly sought-after industrial area of Miami-Dade County, with easy access to major highways, including I-95, the Florida Turnpike, and the Palmetto Expressway, making it an ideal location for businesses with transportation and logistics needs. With 18’ Ft Ceiling Height, 1-Dock Height door and 1-Street Level door, this warehouse offers ample space and flexibility for various industrial and commercial uses.",Industrial,For Lease,2000000.0,15.0,Per square foot,10000.0,19852.0,"Yuniel De Varona,Markos Bertolotti"
1,19996,"1985 Northwest 88th Court, Doral, Florida 33172",Doral,33172,hollywood,"1,800 SF Flex Space in Doral","Discover the perfect blend of functionality and location with this 1,800 sqft flex space, ideally situated in the heart of Doral. This versatile property features a convenient street-level door and a generous 20 ft clear ceiling height, providing ample vertical space for various business operations. Equipped with 3-phase power, this flex space is designed to support a wide range of industrial and commercial activities. It includes dedicated office space, ensuring a productive environment for administrative tasks. Located in the thriving Doral area, this property offers excellent accessibility to major highways, making it a strategic choice for businesses seeking convenience and connectivity.",Industrial,For Lease,2000000.0,4250.0,Per month,1800.0,7500.0,Bobby Berrido
2,20491,"13301 Northwest 38th Avenue, Opa-locka, Florida 33054",Opa-locka,33054,hollywood,"10,000 Sqft Warehouse in Opa-Locka","Fausto Commercial is pleased to present this 10,000 sqft warehouse located in the heart of Opa-Locka. The property is in close proximity to the Opa-Locka airport, I-95 and the Palmetto Expressway, offering a strategic location for various industrial operations. This warehouse features 20 foot high ceilings, two front street-level loading doors and is located in a secure industrial park. It is an ideal solution for businesses seeking functional and accessible warehouse space in Miami-Dade County.",Industrial,For Lease,2000000.0,15.0,Per square foot,10000.0,19789.0,Markos Bertolotti
3,20261,"8251 Southwest 40th Street, Miami, Florida 33155",Miami,33155,hollywood,Launch Your Business on Miami’s Bustling Bird Road: Prime 600sf Retail Space Available!,"Open your business on Miami’s vibrant Bird Road. This retail space in the heart of Miami offers 600sf, recently renovated with brand new floors, paint, bathrooms, well suited for a multitude of uses such as Retail Store, medical office, creative office, lawyers office. Great signage visibility. This building is located on one of the hottest parts of Bird Road. The area enjoys great public transportation, centric to all the major neighborhoods and employment centers, walkability, and a rich cultural environment.",Retail,For Lease,2000000.0,3000.0,Per month,600.0,7500.0,"Bryan Perez,Alessandro Lima"
4,22039,"12257 South Dixie Highway, Miami, Florida 33156",Miami,33156,hollywood,Turn Key 2nd Generation Restaurant in Pinecrest,"Turn-key restaurant opportunity in the heart of Pinecrest, Miami. This fully equipped space is ready for immediate operation, featuring an up-to-date grease trap and hood, seating for over 50 guests, a fully functional bar, and ample parking for customers. Located in a thriving community with excellent visibility and accessibility, this is a perfect opportunity for restaurateurs to establish or expand their business in one of Miami’s most desirable neighborhoods. $50,000 Key Money Required. Up to date Grease Trap & Hood - Seating for 50+ - Over 30 parking spaces - $50,000 Key Money</span></p>",Retail,For Lease,2000000.0,8500.0,Per month,1500.0,7500.0,Alessandro Lima
5,22070,"2207 Southwest 22nd Street, Miami, Florida 33145",Miami,33145,hollywood,"Coral Way Prime 1,600 SF Spot For Lease","Located at 2207 SW 22nd St, Miami, this 1,600 square-foot property is a standout in Coral Way’s vibrant shopping district. Strategically positioned between Coral Gables and Brickell with Coconut Grove just up the street, this site offers unparalleled visibility and accessibility with a daily traffic count of 32,500 cars. Within a one-mile radius, the area boasts a population of 33,335 and strong economic demographics, including a median household income of $78,287, a median disposable income of $63,186, and a median net worth of $121,154. This high-profile location is perfect for a variety of uses, such as retail storefronts, trendy restaurants or bars, specialty markets, banquet halls, professional offices, museums, art galleries, and more. Coral Way is celebrated for its charm, eclectic mix of businesses, and its role as a vital link between two of Miami’s most affluent neighborhoods, ensuring a steady flow of customers from both locals and visitors. Offering ample space for flexible layouts and proximity to major attractions like Miracle Mile, Brickell City Centre, and CocoWalk this property is ideally suited for businesses looking to establish themselves in one of Miami’s most desirable retail corridors. Don’t miss this opportunity to bring your vision to life in Coral Way’s thriving retail scene. Contact us today to schedule a tour or learn more about this exciting opportunity.",Retail,For Lease,2000000.0,7500.0,Per month,1600.0,4935.0,Bobby Berrido
6,19937,"2838 Northwest 125th Street, Opa-locka, Florida 33054",Opa-locka,33054,hollywood,1.55 Acre Industrial Land for Lease,"Fausto Commercial is pleased to exclusively present 2838 NW 125 ST, a prime industrial lot available for lease. Located in the heart of Miami, Florida’s bustling industrial district. This vacant lot spans over 1.55 acres, offering ample space for your business operations. Zoned for industrial use, this property is ideal for truck parking, storage, or any other industrial purposes. The lot is easily accessible from major highways and thoroughfares, providing convenient transportation access for both employees and goods. It is fully serviced with water, sewer, and electricity connections readily available, making it easy to get your business up and running quickly. The property is in a secure and well-maintained industrial park, providing peace of mind and a professional image for your business. This is an excellent opportunity to establish or expand your business operations in a prime location.",Industrial,For Lease,2000000.0,5.5,Per square foot,0.0,67518.0,"Yuniel De Varona,Markos Bertolotti"
7,19909,"49 West 49th Street, Hialeah, Florida 33012",Hialeah,33012,hollywood,THE PERFECT MEDICAL SPACE IN HIALEAH - LOOK NO FURTHER!,"Discover this exceptional medical office space. Ideally situated along an East-West major commercial corridor in Hialeah. This high- traffic location provides excellent visibility and convenient access for your patients. This 4,289 square feet office space offers ample room to accommodate diverse medical practices and businesses. The pristine condition and versatile layout create a welcoming environment for patients and staff. Ample parking. The property was meticulously designed with the specific needs of medical professionals in mind. Spacious rooms provide the perfect setting for procedures and examinations. Large waiting areas ensure patient comfort, while dedicated office space efficiently supports administrative tasks. The office features private consulting rooms, a welcoming reception area, and a convenient break room/kitchen. This opportunity offers the flexibility to match your specific needs.",Office,For Lease,2000000.0,40.0,Per square foot,4105.0,7500.0,"Moises Figueroa,Tony Saladrigas"
8,19128,"12940 Northwest 38th Avenue, Opa-locka, Florida 33054",Opa-locka,33054,opa-locka,"10,000 SF Warehouse in Opa-Locka","Fausto Commercial Realty Consultants, as exclusive representative is pleased to present this excellent opportunity to lease a 10,000 SF free-standing warehouse located in the city of Opa-Locka. Situated on a corner lot, this property is strategically located in a highly sought-after industrial area of Miami-Dade County, providing easy access to major highways, including I-95, the Florida Turnpike, and the Palmetto Expressway. The warehouse boasts 20’ clear height ceilings, 1-Dock Height door, 1-Street level door, and ample parking. The facility is perfect for various industrial uses and operations.",Industrial,For Lease,2000000.0,15.0,Per square foot,10000.0,19796.0,Markos Bertolotti
9,19958,"1847 Northwest 20th Street, Miami, Florida 33142",Miami,33142,hollywood,"1,350 SQFT RENOVATED RETAIL SPACE","Open your business on Miami’s vibrant Nw 20th ST Allapattah. This retail building in the heart of Allapattah offers a freestanding 1,350sf building with parking, well suited for a multitude of uses such as retail store, medical, lounge, office, etc. Site is located in Allapattah, a bustling neighborhood with a strong business community and employment, a great local working population, and quick access to urban core neighborhoods such as downtown, Brickell, etc; other important hubs such as the airport, civic center, and more; as well as quick access to major highways such as I-95, 826/Dolphin Expressway, and more.",Retail,For Lease,2000000.0,3600.0,Per month,1350.0,7500.0,Alessandro Lima
